cli; entry; Client-main; 5
response time; entry; Client-main; 0.8213502825316737
response time; entry; srv1-service; 0.6604553622714544
response time; entry; srv2-service; 0.5156129851179606
response time; entry; srv3-service; 0.20911920398978867
throughput; entry; Client-main; 6.128002535505533
throughput; entry; srv1-service; 6.128002563958481
throughput; entry; srv2-service; 6.128257152522936
throughput; entry; srv3-service; 6.128575451178925
